image_name,image_idx,low lum,avg lum,high lum,red,yellow,green,blue,magenta,labels
D:/HDRplus_dataset/train/input/0032_20160705_172236_686.jpg,1,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141006_103802_083.jpg,18,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141006_113639_062.jpg,27,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141006_162509_038.jpg,40,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141006_162720_568.jpg,41,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141008_134647_698.jpg,95,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141008_134959_010.jpg,96,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141008_202923_344.jpg,118,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141009_123629_074.jpg,123,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141010_164120_414.jpg,168,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/0043_20160826_121158_631.jpg,185,0,0,1,1,0,0,1,1,-1
D:/HDRplus_dataset/train/input/0043_20161031_193151_078.jpg,202,1,0,0,1,0,0,0,1,-1
D:/HDRplus_dataset/train/input/0043_20161031_200342_877.jpg,203,1,0,0,1,0,0,0,0,-1
D:/HDRplus_dataset/train/input/0218_20141031_200954_989.jpg,257,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0919_20150906_180737_024.jpg,294,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/0919_20150906_182305_124.jpg,298,1,0,0,1,0,0,0,1,-1
D:/HDRplus_dataset/train/input/33TJ_20150626_154652_783.jpg,424,1,0,0,1,0,0,0,0,-1
D:/HDRplus_dataset/train/input/33TJ_20150627_145308_574.jpg,436,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/33TJ_20150702_142711_550.jpg,446,1,0,0,0,0,1,0,0,-1
D:/HDRplus_dataset/train/input/47L8_20150515_220108_455.jpg,671,1,0,0,1,0,0,0,0,-1
D:/HDRplus_dataset/train/input/47L8_20150515_220716_310.jpg,672,1,0,0,1,0,0,0,0,-1
D:/HDRplus_dataset/train/input/4KK2_20150829_124451_187.jpg,798,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/4WBR_20150422_220522_541.jpg,891,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/4WBR_20150501_220443_057.jpg,902,1,0,0,1,0,0,0,0,-1
D:/HDRplus_dataset/train/input/4WBR_20150524_122906_585.jpg,974,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5066_20160629_090221_633.jpg,989,0,0,1,1,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141005_170016_197.jpg,1005,0,0,1,1,0,0,1,1,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_102246_788.jpg,1007,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_105302_855.jpg,1008,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_135548_836.jpg,1019,0,0,1,1,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_144226_328.jpg,1021,0,0,1,1,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_155316_300.jpg,1026,0,0,1,1,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_162441_581.jpg,1029,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_162653_141.jpg,1030,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141006_162905_128.jpg,1031,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141007_065743_368.jpg,1035,0,0,1,1,0,1,1,1,-1
D:/HDRplus_dataset/train/input/5a9e_20141007_112925_563.jpg,1041,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20141007_151031_423.jpg,1046,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20150208_145502_285.jpg,1079,0,0,1,1,0,0,1,1,-1
D:/HDRplus_dataset/train/input/5a9e_20150208_145512_434.jpg,1080,0,0,1,1,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20150328_160520_398.jpg,1095,0,0,1,1,0,0,1,1,-1
D:/HDRplus_dataset/train/input/5a9e_20150328_175433_221.jpg,1118,0,0,1,1,0,0,1,1,-1
D:/HDRplus_dataset/train/input/5a9e_20150403_152908_281.jpg,1131,0,0,1,1,0,0,1,0,-1
D:/HDRplus_dataset/train/input/5a9e_20150403_165620_236.jpg,1137,0,0,1,1,0,0,1,1,-1
D:/HDRplus_dataset/train/input/62CL_20150215_163701_029.jpg,1170,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/6FHF_20150303_171126_029.jpg,1220,1,0,0,0,0,1,0,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150307_133352_994.jpg,1273,1,0,0,1,0,1,0,1,-1
D:/HDRplus_dataset/train/input/6G7M_20150307_133443_316.jpg,1274,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150307_134021_883.jpg,1276,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150313_223706_291.jpg,1314,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150320_090042_770.jpg,1327,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150321_125334_875.jpg,1336,1,0,0,0,0,1,0,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150321_132737_699.jpg,1344,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150321_132848_847.jpg,1345,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150321_133007_750.jpg,1346,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150321_133636_123.jpg,1351,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150321_140543_053.jpg,1355,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150321_151858_636.jpg,1361,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150403_155839_711.jpg,1459,1,0,0,1,0,0,0,1,-1
D:/HDRplus_dataset/train/input/6G7M_20150415_201908_091.jpg,1549,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/6G7M_20150418_234936_430.jpg,1554,1,0,0,1,0,0,0,0,-1
D:/HDRplus_dataset/train/input/c1b1_20141007_234653_917.jpg,1561,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/c1b1_20141007_234744_960.jpg,1562,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/c1b1_20141007_235657_307.jpg,1563,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/c1b1_20150312_141022_171.jpg,1581,0,0,1,1,0,0,1,0,-1
D:/HDRplus_dataset/train/input/c1b1_20150408_153131_632.jpg,1594,0,0,1,0,0,0,1,0,-1
D:/HDRplus_dataset/train/input/J6ZC_20150408_153110_727.jpg,1641,0,0,1,0,0,1,1,0,-1
D:/HDRplus_dataset/train/input/0039_20141005_132626_955.jpg,3,0,0,1,0,1,0,1,0,0
D:/HDRplus_dataset/train/input/0039_20141005_143527_930.jpg,8,0,0,1,0,1,0,0,0,0
D:/HDRplus_dataset/train/input/0039_20141006_105442_677.jpg,19,0,0,1,0,1,0,1,0,0
D:/HDRplus_dataset/train/input/0039_20141006_105528_215.jpg,20,0,0,1,0,1,0,1,0,0
D:/HDRplus_dataset/train/input/0039_20141006_110205_172.jpg,24,0,0,1,0,1,0,1,0,0
D:/HDRplus_dataset/train/input/0039_20141006_110442_472.jpg,25,0,0,1,0,1,0,1,0,0
D:/HDRplus_dataset/train/input/0039_20141006_113748_822.jpg,28,0,0,1,0,1,0,1,0,0
D:/HDRplus_dataset/train/input/0039_20141006_153408_319.jpg,34,0,0,1,0,1,1,0,0,0
D:/HDRplus_dataset/train/input/0039_20141007_065905_088.jpg,46,0,0,1,0,1,0,1,0,0
D:/HDRplus_dataset/train/input/0039_20141007_070031_150.jpg,47,0,0,1,0,1,0,0,0,0
D:/HDRplus_dataset/train/input/0039_20141007_070405_894.jpg,49,0,0,1,0,1,0,0,0,0
